編號,問題,答案
317,如何去判斷我消費的商店是屬於海外消費有回饋2.8%呢？,LINEPay判定為海外交易的方式並不是以是否計收手續費或消費幣別來判定，而是以請款資訊帶出的消費地區，只要不是TW、00、空白，就視為國外交易回饋2.8%。►舉例說明：部分航空公司線上刷卡授權成功時，本行接收到的資訊在國家別顯示為非臺灣的國別，此時LINE錢包的付款通知會視為海外消費，回饋比例顯示為2.8%，但請款時本行接收到的資訊，國家別卻又改顯示為臺灣TW，故計算回饋時將以國內消費1%計算。
318,海外消費加碼回饋2.8%與特定商店加碼~15%若刷退時，我已經把LINE POINTS用完，怎麼辦？,退還款項者(如退稅、退貨或帳務調整)，持卡人原先已取得之LINEPOINTS點數，本行將逕依其退還款項金額，自中國信託LINEPay信用卡綁定之LINE會員帳號積點比例予以扣除，此扣回點數範圍僅限持卡人LINE帳戶內由中國信託LINEPay信用卡累積而來的點數，若持卡人LINE帳戶內之LINEPOINTS點數不足或已全數兌換完畢，中國信託將以1點等同於1元之比例，將不足點數之約當金額，列示為信用卡帳單之應繳金額向持卡人收取。
319,請問使用LINE Pay卡扣繳保費，可以獲得幾%的LINE POINTS回饋？,2019年使用LINEPay卡刷國內保費適用LINEPay卡一般消費1%回饋，申購日(要保日)108/4/1～108/12/31活動期間，於中信銀分行申購指定保險產品，首年保費享2%LINEPOINTS回饋(含一般消費1%回饋+額外加碼1%回饋)。適用保單請洽中信銀各分行營業據點諮詢。若您有參加保費0利率分期活動，則不再提供產品回饋及加碼回饋。
320,信用卡最多可以申辦幾張?,本行信用卡沒有限制持有張數。
321,申辦信用卡是否一定會通過核發?,申請信用卡，本行會依據您申請書所填的資料及所附的財力文件詳細審核，是否發卡仍由審核單位最終審核結果為準。
322,申請信用卡是否可提供不動產證明財力?,不動產可以當財力證明，惟不動產的所有權人一定要在正卡申請人名下，其證明文件須為近一個月的【土地＋建物謄本】。
323,信用卡是否有開卡期限?,信用卡只要在有效期限內，隨時都可以開卡。
324,申請後多久會拿到卡片?,只要申請時資料齊全，本行收到信用卡申請件後若審核通過，約莫7~10個工作天就可以收到我們核發給您的卡片。
325,外國人要如何申辦信用卡?,外國人申辦信用卡資格說明，請至外籍人士辦卡專區。
326,如何進行信用卡補件?,於官網線上申請信用卡補件。
327,申請信用卡附卡有什麼條件?,信用卡附卡申請需檢附附卡身分證正、反面影本並填寫信用卡申請書：關係限為主卡之配偶、父母、子女、兄弟姊妹、配偶父母。附卡年齡需年滿15歲。未滿20歲之附卡申請人，除已婚者（依身份證配偶欄認定是否已婚）外，皆需提供【法定代理人同意書】；如法定代理人非附卡申請人之父母，需提供可證明法定代理關係之文件。※法定代理人文件或信用卡申請書可由此下載→選擇【法定代理人同意書】。
328,沒收到信用卡該怎麼辦?,若您是新申請信用卡：請先查詢申請進度確認是否核卡。請留意約核卡後1週左右會收到卡片掛號信。掛失、毀損補發信用卡：請留意約申請後一週左右會收到卡片掛號信。
329,如何申請帳戶自動扣繳本行信用卡費?何時會生效?,一、從銀行帳戶自動扣繳信用卡費辦理方式：持有本行網銀密碼且設定本人本行帳戶扣款：請至網路銀行進行設定。欲申請從其他銀行帳戶扣款：請下載列印「信用卡自動轉帳付款授權書」填妥寄回。二、約定本行本人轉帳帳戶設定生效日係以交易成功當日為準，其餘約定轉帳帳戶設定生效日係以交易成功次日為準。
330,如何變更自動扣款帳號?,如欲變更信用卡自動扣款帳號請參考以下：本人本行帳戶可以使用網路銀行申請變更。本行他人帳戶或他行帳戶扣繳，需填寫自動扣款授權書正本寄回辦理。
331,信用卡自動扣款日期?,本行信用卡自動扣繳於繳款截止日之次一營業日凌晨執行扣款。若繳款截止日遇例假日則可順延至次一營業日。
332,信用卡自動扣款失敗時該怎麼辦?,信用卡自動扣款失敗或餘額不足，不會再二次扣款，請您透過其他方式繳款。
333,如何知道信用卡自動繳款是否生效?,若信用卡自動扣繳已生效，帳單會有清楚提示；或登入網路銀行查詢。
334,信用卡繳款何時會入帳?,信用卡繳款入帳時間會依繳款通路有所不同：一、本行臨櫃繳款：繳款日次營業日入帳。二、ATM轉帳、匯款繳款:營業日當天下午三點半前：繳款日次一營業日入帳。非營業日或營業日但超過下午三點半：次營業日的次日入帳。三、便利商店及本行指定之各代理收款行庫櫃檯繳款：繳款日+2~3個工作天入帳。
335,信用卡戶繳款紀錄可以保存多久?,信用卡戶繳款資料揭露期限，自繳款截止日起揭露1年。
336,申請信用卡電子帳單是否還有實體紙本帳單?,若您申請信用卡電子帳單，只有申辦後的第一次會同時寄送紙本帳單及電子帳單，次期起僅寄送電子帳單或通知書。申辦方式：官網線上申請個人網路銀行申請
337,為什麼信用卡電子帳單上的廣告連結無法點選?,請先確認您是否有下載開啟PDF軟體。※若無法點選，可能是未安裝PDF軟體，請參考Adobe網站說明下載
338,信用卡電子帳單無法開啟該怎麼辦?,開啟密碼請輸入您的身分證字號，英文字母請大寫。建議下載國泰世華新行動銀行，線上查詢信用卡帳單。※若無法開啟信用卡電子帳單，可能是未安裝PDF軟體，請參考Adobe網站說明下載。※線上申請新行動銀行請至網路銀行。
339,信用卡正附卡帳單能分開寄送嗎?,信用卡正附卡帳單無法分開寄送，帳單會寄送給正卡持卡人。
340,信用卡帳單能不能指定他人代收?,信用卡帳單可以指定他人代收。因應個資法第9條規定，本行須於首次利用第三人資料時，郵寄告知書予第三人。
341,多久才會收到帳單?,電子帳單：於結帳日後二個營業日寄送至電子信箱實體帳單：於結帳日後三個營業日交寄
342,信用卡帳單繳款是否可以延期?,信用卡帳單如因繳款日遇假日會自動順延至次一營業日，其餘請依帳單上繳款日期繳款。
343,是否能取消信用卡網路繳費?,完成信用卡網路繳費後即無法取消該筆交易，若對繳款明細有所疑問，請洽繳費所屬事業機構協助處理。
344,沒收到信用卡帳單該怎麼辦?,若您未收到帳單，欲查詢最近一期帳單應繳金額及繳款截止日可至本行官網，輸入個人資料後即可查詢繳款資訊。
345,為什麼帳單中的應繳金額是負的?,帳單應繳金額是負數可能有：重複繳款、商店退款、或回饋金入帳...等原因，惟帳單應繳總金額如為負數，表示無需繳款。
346,若有帳款疑問該怎麼處理?,您於當期繳款截止日前，如就對帳單上所載事項有疑義，得檢具理由及本行要求之相關證明文件（如簽帳單、退款單收執聯及申訴函等）通知本行；或請求本行向收單機構調閱簽帳單或退款單。您未於當期繳款截止日前通知本行，視為對帳單上所載事項無錯誤。因發生疑義而暫停付款之帳款，如經本行證明係您無誤或因非可歸責於本行之事由而不得扣款時，您於收到本行通知後應立即繳付之，並自原繳款期限之次日起，依循環信用利率計付利息予本行。
347,"什麼是""循環信用，彈性繳款""？","""循環信用，彈性繳款”是方便持卡人提前享受、延後付款的一種信用卡理財方式，讓持卡人在自己的信用卡額度範圍內，分月繳付消費金額。持卡人免任何申請手續，每月僅須繳足最低應繳款項，即自動進入循環信用開始計算利息，減輕還款壓力。關於「每期最低應繳金額」、「循環信用利息」及「延滯繳款違約金」計算方式，請參閱本行信用卡約定條款第十五條。"
348,如何使用支票繳納信用卡帳單?,使用支票繳納信用卡帳單，請開具抬頭為「國泰世華商業銀行信用卡作業部」之禁止背書轉讓支票與當期帳單下方之【繳款聯】，以掛號方式郵寄至「臺北光復郵局第00799號信箱」，並於支票背面寫明欲繳款之身分證字號。為避免因交換作業延誤入帳時間，請於繳款截止日前七個工作天寄達。
349,能不能在台灣銀行/第一銀行繳納信用卡費?,自104/1/1起本行不再與臺灣銀行、第一銀行配合臨櫃代收信用卡款業務，您可以參閱本行官網其它繳款方式。
350,如何申請信用卡繳付學費繳款證明?,請依繳學費入口網指示，按操作流程輸入所須資訊，若繳費狀態為已繳費方可列印學費繳款證明。
351,如何申請信用卡繳款證明?,信用卡繳款證明可透過：繳款收據即可當作繳款憑證，本行於次期帳單明細將列示您的繳款記錄。可以登入網路銀行查詢。
352,為什麼消費簡訊通知沒有註明商家名稱?,商店向本行索取消費授權號碼時，不需傳送商店名稱，僅需傳送刷卡的卡片相關資料給本行，經檢核通過授權條件後即可完成交易，故商家名稱需待店家請款後方能查詢。
353,如何申請信用卡或帳戶代扣繳公用事業費用?,代扣繳公用事業費用申請方式:「信用卡」代扣繳：申請書下載。依申請書上所刊載的地址或傳真號碼回傳或回寄申請。「銀行帳戶」代扣繳：請您本人持身分證及帳戶原留印鑑至本行任一分行辦理申請，代扣繳項目計有政府機關相關費用、公用事業費用、金融機構相關費用等。已可透過MyBank申辦/終止代扣繳公用事業費用。
354,申請信用卡代扣公用事業費是否須先終止他行代扣?,申請本行信用卡代繳公用事業費無需先終止他行代扣，本行申請成功後將覆蓋先前代扣單位。請下載信用卡代扣繳公用事業費申請書，依申請書上所刊載的地址或傳真號碼回傳或回寄申請。
355,如何終止信用卡或帳戶代扣繳公用事業費用?,代扣繳公用事業費用終止方式：「信用卡」代扣繳：申請書下載。填妥後可依申請書上所刊載的地址或傳真號碼回傳或回寄終止。「銀行帳戶」代扣繳：請您本人持身分證及帳戶原留印鑑至本行任一分行辦理。
356,為什麼會收到重新辦理代扣繳服務的簡訊?,因您日前曾補發本行信用卡，因卡號或有效期限變動，故提醒您記得向相關公司重新辦理代扣繳服務，並請儘速完成開卡程序避免扣繳失敗。
357,如何申請路邊停車自動扣繳?,目前本行提供台北市、新北市、新竹市、台中市、嘉義市、台南市、高雄市路邊停車費用信用卡／帳戶自動扣繳。登入網路銀行申請。下載代繳申請書填寫後寄回。
358,為什麼無法設定路邊停車費代繳?,若您曾於他行或電信業者辦理代繳路邊停車費者，須先終止原約定完成，方能委託申請本行約定之停車費代繳。
359,如何申請信用卡消費授權簡訊通知?,"只要以本行信用卡簽帳之單筆消費達NT$3,000(含)以上，並透過網路銀行申請消費簡訊通知服務，即可免費發送簡訊到您在本行登記之行動電話服務。"
360,全球緊急支援,"國際組織提供持卡人世界各地之當地免付費電話，只要於所在的國家撥一通免付費電話至全球服務中心，該中心就會依照您的需求為您安排適當的服務，讓您出門在外也安心無懼。服務項目：發卡銀行聯絡電話查詢服務─為您轉接至您本國的發卡銀行服務部門，可查詢信用卡餘額等資訊，並依您的其他請求轉接至相關的服務中心。MasterCard／Cirrus全球自動提款機地點查詢掛失卡片或申請緊急替代卡註：金融信用卡(combocard)持卡人申請緊急替代卡時，該卡片僅具信用卡功能，並不具有金融卡功能。VISA／MasterCard緊急提現：海外遺失信用卡勿需擔心，您只需立即向緊急支援中心或旅遊服務中心掛失，您便可申請高達美金五仟元之現金緊急支援(須扣除累積未繳餘額)，並享有專員立即為您辦理的緊急替代卡，讓您不必為短暫無現金、無信用卡使用而擔心。MasterCard另提供持卡人多項旅遊服務，如安排旅遊計劃、訂購機票、重新訂位、臨時更改行程、緊急電訊傳遞等，以及卡片遺失被竊備案、緊急替代卡等緊急服務。台灣區免付費專線：00801-10-3400(各國免付費電話請上MasterCard網站查詢)其它地區代表號：當地國碼-1-636-722-7111，可撥對方付費電話(CollectCall)(台灣區持卡人電話撥通後以英文說""MandarinPlease""即有說中文之專人服務)"
361,海外緊急替代卡期限多久?,海外緊急替代卡提供您海外急用使用期限為2個月。回國後盡快通知客服協助補發新卡。
362,為什麼國際機場外圍停車需要留鑰匙?,國際機場外圍停車時需留鑰匙，因停車場除免費停車外，也提供暖車、打氣、充電、加水等服務，在車位不足時可以彈性運用停車空間。故請將您的車鑰匙留給停車場服務人員。
363,如何查詢泰贈點點數?,麻煩您至TreeMall泰贈點網站?→【登入會員】→【會員中心】→【點數查詢】，或者致電TreeMall客服中心0809-060-699（每週一至週五早上09：30～晚上18：00）查詢。
364,如何查詢舞動紅利點數?,舞動紅利點數查詢方法如下：下載國泰優惠APP，並加入會員。請以網銀密碼登入網路銀行即可查詢紅利點數。
365,掛失後補發的信用卡是否需要重新設定網路ACS驗證密碼,掛失補發新卡需重新進行網路交易ACS驗證密碼設定，但需於收到新卡5個工作日以後才可進行設定。
366,補發的信用卡是否需要重新申請代扣繳?,因到期換卡有效期限已更改，原卡片如已設定代扣服務，需請您自行向各代扣公司確認是否須變更卡號資訊以繼續扣款。(國壽保費、公用事業代繳、路邊停車代繳、eTag自動儲值服務等無須重新申辦)因毀損補發有效期限已更改，原卡片如已設定代扣服務，需請您自行向各代扣公司確認是否須變更卡號資訊以繼續扣款。(國壽保費、公用事業代繳、路邊停車代繳、eTag自動儲值服務等無須重新申辦)因掛失補發之卡號及有效期限已變更，原卡片如已設定代扣繳服務，需請您自行向各代扣繳公司確認是否須變更卡號資訊以繼續扣款。
367,信用卡補發期間舊卡可否使用,信用卡卡片補發期間，舊卡無法刷卡使用（包含固定代扣繳，如：水電、保費..）等。
368,卡片辦理掛失，是否需要另外收費?,信用卡掛失手續費，包含了完整的國內外掛失作業手續的費用，每卡NT$200。（世界卡／無限卡免收）。
369,該如何調整信用額度?,申請調整額度持卡人可向本行申請調高或降低信用額度，各卡別目前無最低信用額度之限制，惟降低信用額度後，無法再行調回原來的信用額度；如果您需要較高額度時可以再次提出申請，請提供不同於申1、請時之收入證明文件，例如：最近一期扣繳憑單影本、薪資單影本等，提供愈完整之資料，可核發愈高之額度。請將收入證明文件親送或郵寄至本行信用卡部，註明需要調整額度及會員姓名、身分證字號或卡號。機動調整如您為了出國或其他特殊理由，臨時需要較高額度，請儘早通知本行，本行會根據您以往的消費及繳款紀錄予以臨時調高額度調整審核標準本行將依您所提供之文件、持卡時間、消費紀錄、付款紀錄、職業及居住之穩定性....等，綜合判斷調整與否。
370,我的信用額度為什麼被調降?,依據本行信用卡定型化契約第二十二條：信用卡使用之限制，其中列示多項事由，本行可降低持卡人之信用額度。※信用卡定型化契約可由此進入→選擇【信用卡定型化契約】。
371,學生是否可以調高信用卡額度?,目前針對學生身分不提供信用卡額度提高申請。※若您已非在學學生，可備妥財力證明或畢業證書，轉接真人客服為您服務。
372,預借現金手續費/預借現金帳管費/單筆預借現金費用/分期預借現金費用,單筆預借現金手續費單筆預借現金手續費為每筆預借現金金額乘以３％＋新臺幣150元或美元5元。預借金額及手續費，將會列在下一期的帳單上分期預借現金帳管費分期預借現金帳管費，每申辦一筆，帳管費新台幣888元，於撥款時扣除
373,電話或網路銀行預借現金的撥款時間?,自動化管道（網路銀行、語音系統等）預借現金的撥款時間區分如下：預借時間：營業日13：00（含）以前完成預借，取得款項時間為當日15：30左右匯入。預借時間：營業日13：00以後或非營業日預借，取得款項時間為次營業日15：30左右匯入。
374,臨櫃辦理預借現金需要準備哪些證件?,臨櫃預借現金需攜帶文件如下：國內：本人攜帶身分證、信用卡。國外：本人攜帶護照、信用卡。
375,申請帳單分期後會收到結果通知嗎?,本行將以【簡訊】通知帳單分期申請結果，若分期成功，帳單分期核准金額及期數將列示於帳單上。
376,信用卡分期付款同意書去哪裡下載?,配合主管機關要求，發卡機構提供之信用卡分期付款服務應事先以書面或與持卡人約定之方式告知客戶所需負擔費用之計收標準與收取條件。有效正卡客戶必須簽署『信用卡分期付款同意書』後，始能申請。請備妥信用卡及於本行留存號碼之手機至本行官網完成設定。
377,如何開啟悠遊卡自動加值功能?,悠遊卡自動加值開啟方式如下：申請信用卡時勾選【預設開啟悠遊卡自動加值功能】。至各大便利超商，由店員為您開啟，或利用全家便利商店FamiPort。依機器操作畫面執行開啟悠遊卡自動加值功能。操作臺北捷運各車站之悠遊卡加值機(AVM)完成開啟程序。*2、3須先完成信用卡開卡。注意，悠遊聯名卡的【悠遊卡自動加值】功能一經啟用後是無法關閉的。但可利用臺北捷運各站之悠遊卡加值設備(AVM)、全家便利商店FamiPort，依機器操作畫面執行「悠遊卡退卡」程序，停止所有悠遊卡功能。
378,悠移卡自動加值有沒有任何限制?,有關悠遊卡自動加值離線交易每日限自動加值1次；連線交易每日限自動加值3次每次加值金額為NT500或其最小倍數。
379,悠遊聯名卡為什麼無法自動加值?,悠遊聯名卡無法自動加值可能原因：自動加值功能未開啟。非自動加值功能使用範圍。超出自動加值限額或限次。詳細說明請參閱悠遊卡公司網頁。
380,搭乘交通工具遇到悠遊卡扣款異常該怎麼處理?,使用悠遊卡搭乘交通工具發現扣款異常時，請與該公司聯繫，提供以下電話參考：悠遊卡客服專線：412-8880（手機及金馬地區請加02）台北捷運客服專線：（02）2181-2345臺鐵客服專線：0800-765-888
381,悠遊卡餘額轉置需要多久時間?,悠遊卡辦妥餘額轉置後，約40天後返還至持卡人信用卡帳上。
382,如何申請悠遊聯名卡加值證明?,如您需要悠遊卡加值憑證報帳時，請您於捷運各車站詢問處，請站務人員開立加值憑證即可。
383,如何於分行辦理餘額轉置?,欲到分行辦理悠遊卡餘額轉置，請攜帶您的悠遊聯名卡轉交任一分行，請行員協助您內轉回信用卡中心。※悠遊卡餘額者約40日內轉入信用卡帳單上。
384,如何透過悠遊卡自動加值機AVM辦理餘額轉置?,若您是一般停卡或毀損補發的卡片，請到捷運站的悠遊卡加值設備（AVM）辦理退卡。※悠遊卡餘額者約40日內轉入信用卡帳單上。
385,餘額轉置要寄到哪裡?,請將卡片寄回至【105台北市松山區光復南路35號1樓信用卡作業部餘額轉置小組收】※悠遊卡餘額者約40日內轉入信用卡帳單上。
386,如何申請繳回的悠遊聯名卡餘額贖回?,您可將悠遊聯名卡交由就近分行，或掛號寄回信用卡中心地址「105台北市松山區光復南路35號1樓信用卡作業部餘額轉置小組」辦理餘額退還。餘額贖回後約於40天後退還至您的信用卡帳戶中，扣抵信用卡消費款。
387,i刷金融卡可以動用保單貸款嗎?,i刷金融卡消費時，不得動用保單貸款金額。
388,i刷金融卡是否有交易日的限額?,i刷卡金融卡的刷卡交易日限額為12萬元、ATM日限額為10萬元※刷卡日限額與ATM日限額分別計算。
389,i刷金融卡有提供分期交易服務嗎?,i刷金融卡無法使用分期交易。
390,i刷金融卡是否具備額度透支的功能?,i刷金融卡不具備額度透支之功能，帳戶餘額不足交易將會無法成功；每日消費限額為12萬元，單日超過無法進行交易。
391,i刷金融卡是否會寄送帳單?,ｉ刷金融卡消費通知書之結算週期為每月12日，結算後約5~7天寄送。
392,i刷金融卡違約金如何計算?,i刷金融卡連續執行扣款達30天，且於結帳日前一日仍未全額扣款成功者，本行按月每卡計收違約金新台幣貳佰元。※違約金收取無次數之限制，計收至無扣款失敗為止。
393,i刷悠遊Debit卡申辦悠遊卡餘額退還有哪些方法?,悠遊金融(Debit)卡要申請餘額退還，請本人攜帶卡片及身分證明文件洽分行辦理。
394,在國外使用i刷金融卡有哪些需要注意的事項?,i刷金融卡在國外貼有全球貼有VISA、MasterCard的商店都可以使用ｉ刷金融卡進行刷卡簽帳消費，並收取國外交易手續費(交易金額*1.5％)。
395,i刷金融卡電子消費通知書去哪裡申請?可以取消嗎?,i刷金融卡電子消費通知書於每月12號後5~7日寄送，申請及取消方式請至網路銀行。
396,如何申請雙幣卡?,申請雙幣卡正卡需年滿20歲：檢附申請書及身分證影本有開設本行外幣儲蓄帳戶財力證明正本郵寄回，本行將進行審核作業。雙幣卡線上申請
397,是否能用同一份申請書申請多張雙幣卡?,同一份雙幣信用卡申請書不可同時申辦兩卡，若要申請幾張雙幣卡就需填寫幾份申請書。
398,雙幣卡會收取多少年費?,雙幣卡信用卡年費首年免年費，次年年費1800元。次年起，白金卡正卡消費兩次；鈦金商務卡：正附卡合併一般消費達18萬，即可享免年費。
399,申請雙幣信用卡需要開立本行外幣帳戶嗎?,是的，申請雙幣信用卡必需開立本行外幣帳戶，因此外幣帳戶為信用卡申請書必填欄位。
400,雙幣卡需要辦理台幣帳戶自動換匯嗎?,雙幣信用卡不一定要設定新臺幣帳戶自動換匯功能，如未設定自動換匯服務，扣款帳號餘額不足不會進行二次扣款。
401,雙幣卡可以指定自己的卡片信用額度嗎?,信用卡持卡人於額度內，可指定雙幣卡的卡片額度，但無法單獨指定新臺幣或外幣額度。
402,雙幣卡外幣與台幣額度如何計算?,雙幣信用卡外幣與新臺幣共用卡片額度，額度係以您的新臺幣總額度管理。
403,於國外使用雙幣卡交易結帳的幣別為何?,雙幣信用卡結算幣別依境內、外定義：境內皆以新臺幣結算，境外以約定外幣結算。
404,雙幣卡交易時可以設定交易幣別嗎?,雙幣卡可設定交易幣別，但付款時仍會依境內外定義結算：境內以新臺幣結算，境外皆以美元結算。
405,雙幣卡的臺幣/外幣費用要如何繳款?,雙幣信用卡之繳款方式區分：台幣繳款比照一般信用卡繳款。外幣繳款僅限約定本行外幣帳戶自動扣繳。※另可約定本人台幣帳戶自動換匯功能，如外幣存款不足時，銀行可依當時牌告賣匯至指定台幣帳戶進行換匯扣款。
406,雙幣卡的臺幣與外幣帳單是同一份嗎?,雙幣信用卡帳單與台幣信用卡帳單合併同一份，不同幣別分開列示，會詳列各幣別總應繳及最低應繳金額。
407,雙幣卡溢繳能不能抵扣不同幣別帳款?,雙幣信用卡各幣別溢繳金額只會抵扣該幣別帳款，無法扣抵不同幣別帳款。
408,雙幣卡外幣最低的應繳金額是如何計算的?,雙幣信用卡外幣最低應繳金額為當期新增信用卡一般消費全部款項的10%＋其他款項的5%、超過原信用額度之金額及當期帳單新增的利息費用。
409,雙幣卡當外幣帳戶扣款不成功，若持卡人有約定臺幣自動換匯服務，，何時會從臺幣帳戶扣款進行自動換匯?,雙幣卡的新臺幣自動換匯扣款執行時間為繳款截止日當日11:00前完成扣繳，扣繳失敗將於12:00前發送扣繳失敗簡訊。
410,雙幣卡新臺幣自動換匯是採用哪一天的匯率?,雙幣卡自動換匯的敲匯時點及匯率，是採用繳款截止日當日扣繳時之即時牌告賣匯。
411,使用雙幣卡進行台幣帳號自動換匯時是否有任何限制?,針對自動換匯的新臺幣帳號需限正卡申請人於本行臺幣存款有效帳戶（部分帳戶不適用）。※換匯限額：每一身份證字號當日所有通路換匯金額不得超過新臺幣50萬。
412,雙幣卡有沒有自動換匯的限額?,每一身份證字號歸戶下所有通路換匯金額不得超過新臺幣50萬。
413,若雙幣卡外幣帳戶已銷戶，該如何繳交該帳戶的欠款?,雙幣卡外幣帳號若仍有欠款或已銷戶之繳款方式：可利用他行匯款外幣入帳，但需收取外幣匯款相關手續費（本行收取匯入手續費NT$300，他行費用依他行收費標準）。臨櫃購買外幣現鈔，以外幣專屬帳號繳納※外幣專屬帳號（本國人96129+正卡人身分證字號（英文字母A=01，B=02…以此類推）共16位數）。
414,雙幣卡有哪些回饋優惠?,雙幣信用卡紅利累積為新臺幣20元回饋紅利點數1點、2美元回饋紅利點數3點。
415,雙幣卡可以預借現金嗎?,雙幣信用卡可申請預借現金，惟不開放台灣地區預借外幣。
416,雙幣卡退貨及退稅時是否有幣別上的限制?,雙幣信用卡退貨或退稅依境內、外定義：境內以台幣結算，境外以議定外幣結算。
417,為什麼會收到催繳的簡訊?,若您收到信用卡催繳簡訊，可能因您的信用卡款已超過繳款期限仍未繳款。若您已繳納款項，則無須理會該訊息。
418,申請銀行公會債務協商有什麼條件?,申請前置協商的條件及方式：可前往銀行公會網頁查詢相關規定。撥打諮詢專線，由專人服務：02-27303536(週一~週五9：00~17：30)。
419,銀行公會債務協商如何繳款,「債務協商」與「前置協商」繳款方式可利用ATM轉帳或本行臨櫃繳款（兩者繳款帳號相同）。
420,銀行公會債務協商履約完成聯徵紀錄註記時間,銀行公會債務協商／前置協商履約完成信用註記時間為「清償日+1年」。
421,催收及呆帳聯徵紀錄可以保存多久?,催收及呆帳紀錄自清償之日起揭露6個月，但呆帳紀錄未清償者，自轉銷之日起揭露5年。
422,雙幣信用卡有效使用期限是多久?,雙幣信用卡有限期限為7年。
423,如何申請清償證明?,如您需要本行開立清償證明，歡迎洽詢本行客服專線(02)2383-1000（第二次申請開始，每次需酌收工本費一份NT$200元）
424,如何使用信用卡捐款?,愛心滿滿，刷卡捐款，世界因您更溫暖；您可至本行官網進行信用卡捐款。
425,是否有發行美國運通信用卡?,目前本行信用卡發行配合之國際組織為Visa、Master及JCB，未配合美國運通組織發行。
426,哪些卡片可以使用國泰世華MasterPass?,國泰世華MasterPass可以綁定您目前使用本行的MasterCard、Visa、JCB所有信用卡，不含ｉ刷金融卡。
427,感應式交易有哪些?該如何使用?,VISApayWave/MasterCardPayPass/JCBJ/Speedy皆為信用卡感應式交易功能，可快速又安全的完成付款。欲了解本行信用卡可至官網卡片介紹查詢。
428,如何重新設定網路安全認證密碼?,若您已透過客服中心取得網路安全認證（ACS）暫時密碼，請依以下步驟重新設定。MASTER卡VISA卡JCB卡※註冊步驟：畫面拉至最下方，勾選我同意，點選確認註冊【MASTER/VISA/JCB驗證】點選上方，「我忘記密碼了」**第3點很重要**輸入卡號，不需輸入密碼，點選「您忘記密碼了嗎？」點選「重設密碼」輸入卡號及客服人員為您設定的「暫時密碼」，點選繼續即可自設交易密碼
429,要怎麼申請/終止/異動自動儲值生效日期,eTag自動儲值服務，若是新申請、終止車號：須3工作日待遠通回覆後生效，若是異動扣款卡號，將即時生效。建議前往網路銀行查詢申辦狀態。
430,附卡可以申請eTag自動儲值嗎?,信用卡eTag自動儲值僅限【正卡人】方可申請。
431,若無eTag，該如何申請自動儲值?,代扣繳之車輛必須有eTag才能申請自動儲值。
432,如何變更戶籍地址?,為了確保個人資料安全性，如欲變更銀行戶籍資料，需本人攜帶身分證及原開戶印鑑至任一分行辦理。若需變更信用卡戶籍資料，請您準備好新的身份證正反面影本後，聯繫客服為您變更信用卡的戶籍地址。本行客服中心0800-818-001（手機請撥付費電話）或02-2383-1000，按2之後，輸入身分證字號後9碼，及網銀密碼或出生月日，接續再按9，即可轉接客服人員。
433,為什麼會收到信用卡約定條款更正通知?,本行為配合金管會公告修改信用卡約定條款，特此寄發信用卡約定條款更正通知予您知悉。
434,如何查詢信用卡卡號及效期?,信用卡16碼卡號及有效期限皆印製在卡片正面或背面，3位檢核碼印製在背面簽名欄附近。信用卡需憑卡才能交易，請務必保管好您的卡片。
435,信用卡年費如何計算?,本行信用卡種類眾多，有關各卡年費收取標準請至本行官網參考各卡年費收取標準。
436,哪些消費類型有計入信用卡年費?,除費用、利息外，其餘消費均計入信用卡年費次數及累積金額。
437,在國外使用信用卡消費會收取什麼費用?,持卡人所有使用信用卡交易帳款均應以新臺幣或約定外幣結付，如交易(含辦理退款)之貨幣非為新臺幣或於國外以新臺幣交易（含與設於國外之特約商店或網站交易）時，則授權本行依各信用卡國際組織依約所列之交易結匯日匯率直接換算為新臺幣或約定結付外幣，加計本行應向各該國際組織給付之手續費及本行以交易金額百分之0.5計算之國外交易服務費後結付。(國外交易手續費目前費率為交易金額之0.8%~1%，信用卡國際組織收取之費率可能隨時變更，並詳載於信用卡帳單或銀行網站)。
438,信用卡到期如何續卡?,如您持有的信用卡為有效卡且未申請到期不續卡，本行將會在到期月份之前一個月下旬開始寄發續卡，並在到期當月份的15號以前寄發完畢。
439,停卡是否會影響個人信用紀錄?,信用卡申請一般停用不會影響信用紀錄。
440,停卡聯徵紀錄可以保存多久?,自停卡發生日起揭露5年。但款項未繳之強制停卡資料，未清償者，自停卡發生日起揭露7年；已清償者，自清償日起揭露6個月，但最長不超過停卡發生日起7年。
